Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-07-19;17:58;VIALE REGIONE SICILIANA S.E. , 926;C;;13,336003;38,0964
2018-07-20;08:00;VIA RE FEDERICO;C;;13,347397;38,120827
2018-07-20;10:45;VIA DODICI GENNAIO;F;1;13,353354;38,125546
2018-07-20;12:15;PZZA ORLANDO VITTORIO EMANUELE;F;1;13,350968;38,119353
2018-07-22;03:30;VIA BASILE ERNESTO;F;1;13,346665;38,099414
2018-07-20;20:00;VIA GAGINI ANTONIO;F;1;13,362062;38,120377
2018-07-23;14:50;VIA LI BASSI GIUSEPPE;C;;13,353024;38,100258
2018-07-23;16:30;VIA SAMMARTINO;F;2;13,349207;38,126197
2018-07-23;18:00;PIAZZA VILLENA;F;1;13,361463;38,115686
2018-07-23;18:40;VIA DE SALIBA ANTONIO , 6;F;1;13,33238;38,13287
2018-07-23;23:25;VIA BEATI PAOLI altezza;F;1;13,355497;38,116282
2018-07-23;23:30;VIA ARCHIMEDE , 155;M;;13,355298;38,129048
